salary,player_position,race,team_payroll,years_played,games_played,career_at_bats,career_runs,career_hits,career_doubles,career_triples,career_homeruns,career_runs_batted_in,career_batting_average,career_walks,career_strike_outs,career_stolen_bases,career_fielding_percent,white_percent_in_city,black_percent_in_city,hispanic_percent_in_city
312500,thirdbase,hispanic,26958972,3,267,898,105,224,41,2,33,110,249,111,167,3,957,72.56567,26.15394,1.280389
300000,secondbase,white,26958972,7,402,1122,163,257,37,8,5,102,229,112,172,56,974,72.56567,26.15394,1.280389
237500,firstbase,white,26958972,3,241,524,50,133,23,0,5,54,254,43,57,2,993,72.56567,26.15394,1.280389
197500,outfield,hispanic,26958972,2,150,414,58,111,22,2,18,58,268,42,98,1,978,72.56567,26.15394,1.280389
120000,outfield,hispanic,26958972,2,42,104,17,18,4,0,0,6,173,12,18,0,969,72.56567,26.15394,1.280389
4875000,outfield,black,37226584,17,2310,8890,1259,2504,444,94,399,1425,282,588,1313,310,984,89.56021,5.773694,4.666095
3325000,outfield,white,37226584,8,831,2980,418,912,167,26,84,489,306,312,230,60,979,89.56021,5.773694,4.666095
3000000,outfield,black,37226584,9,842,3073,444,851,190,23,103,422,277,285,523,93,975,89.56021,5.773694,4.666095
2200000,catcher,hispanic,37226584,13,1624,5550,584,1481,256,26,95,614,267,382,704,78,990,89.56021,5.773694,4.666095
1075000,shortstop,hispanic,37226584,7,638,1940,209,452,100,9,24,187,233,148,370,18,961,89.56021,5.773694,4.666095
750000,outfield,black,37226584,9,1004,3521,474,926,171,25,42,311,263,221,401,196,985,89.56021,5.773694,4.666095
700000,catcher,white,37226584,8,595,1746,159,410,78,6,31,185,235,90,345,4,992,89.56021,5.773694,4.666095
675000,secondbase,white,37226584,12,1361,4411,557,1155,193,31,25,437,262,442,465,74,978,89.56021,5.773694,4.666095
400000,shortstop,black,37226584,8,825,2361,294,610,84,20,43,264,258,224,369,19,963,89.56021,5.773694,4.666095
340000,firstbase,hispanic,37226584,4,337,1073,132,306,54,1,18,146,285,122,155,2,989,89.56021,5.773694,4.666095
270000,firstbase,black,37226584,2,187,574,63,140,28,2,17,89,244,73,110,5,983,89.56021,5.773694,4.666095
240000,firstbase,white,37226584,3,139,373,40,109,25,2,5,40,292,39,36,1,983,89.56021,5.773694,4.666095
222000,outfield,white,37226584,2,142,417,49,112,19,1,4,46,269,26,66,2,971,89.56021,5.773694,4.666095
200000,secondbase,white,37226584,3,116,326,23,72,15,0,5,29,221,32,61,0,967,89.56021,5.773694,4.666095
135000,shortstop,white,37226584,1,58,185,21,51,13,0,5,25,276,20,17,1,963,89.56021,5.773694,4.666095
1600000,outfield,black,15589667,4,347,1287,164,335,62,7,70,247,260,90,288,13,963,82.04247,16.03466,1.922861
1300000,catcher,black,15589667,5,280,948,93,248,52,2,12,105,262,49,106,7,988,82.04247,16.03466,1.922861
1200000,secondbase,hispanic,15589667,3,427,1562,218,457,77,5,38,221,293,99,207,13,965,82.04247,16.03466,1.922861
975000,outfield,black,15589667,4,277,902,118,221,35,6,39,113,245,64,201,25,971,82.04247,16.03466,1.922861
950000,shortstop,hispanic,15589667,6,578,1692,169,431,42,9,1,111,255,123,105,17,972,82.04247,16.03466,1.922861
750000,catcher,white,15589667,9,564,1441,119,329,62,3,17,136,228,80,387,3,988,82.04247,16.03466,1.922861
500000,firstbase,hispanic,15589667,5,359,1162,112,308,52,6,19,121,265,48,173,9,975,82.04247,16.03466,1.922861
425000,outfield,black,15589667,2,168,650,105,179,16,8,5,42,275,73,73,68,981,82.04247,16.03466,1.922861
400000,shortstop,hispanic,15589667,7,517,1523,142,387,61,5,7,104,254,48,190,8,970,82.04247,16.03466,1.922861
350000,firstbase,white,15589667,4,221,647,71,165,30,2,27,87,255,72,135,1,993,82.04247,16.03466,1.922861
335000,catcher,hispanic,15589667,11,625,1569,120,408,56,4,5,157,260,105,185,7,985,82.04247,16.03466,1.922861
325000,outfield,black,15589667,3,248,686,71,182,29,5,6,54,265,41,128,25,990,82.04247,16.03466,1.922861
300000,secondbase,white,15589667,6,555,1764,199,495,84,12,26,163,281,116,151,12,976,82.04247,16.03466,1.922861
142500,firstbase,black,15589667,2,55,197,19,51,9,2,4,19,259,5,41,0,993,82.04247,16.03466,1.922861
4200000,firstbase,black,35948168,7,696,2297,353,590,91,3,161,473,257,287,628,0,990,76.99908,21.03883,1.96208
3866667,outfield,black,35948168,11,1292,4331,652,1120,190,37,68,450,259,634,762,97,967,76.99908,21.03883,1.96208
3433333,secondbase,black,35948168,16,2095,7616,1211,2088,353,62,209,930,274,1047,965,134,984,76.99908,21.03883,1.96208
3333333,catcher,white,35948168,9,932,2873,416,693,121,8,137,406,241,538,811,18,990,76.99908,21.03883,1.96208
2066667,outfield,white,35948168,9,1002,3365,503,746,128,12,205,536,222,503,1210,38,978,76.99908,21.03883,1.96208
1400000,shortstop,white,35948168,16,1965,7179,1077,2050,356,51,162,876,286,759,755,212,977,76.99908,21.03883,1.96208
1150000,outfield,white,35948168,10,1106,4145,611,1120,187,38,61,390,270,316,575,214,984,76.99908,21.03883,1.96208
650000,shortstop,white,35948168,3,379,1448,184,388,78,8,50,214,268,102,344,23,960,76.99908,21.03883,1.96208
500000,outfield,white,35948168,14,1351,4838,815,1298,216,44,210,701,268,599,1068,256,975,76.99908,21.03883,1.96208
425000,outfield,black,35948168,6,325,678,96,166,23,4,2,48,245,49,154,53,973,76.99908,21.03883,1.96208
275000,outfield,black,35948168,3,262,817,124,205,29,9,6,69,251,67,164,50,984,76.99908,21.03883,1.96208
250000,thirdbase,black,35948168,7,245,433,67,108,22,3,11,52,249,30,53,15,969,76.99908,21.03883,1.96208
240000,catcher,white,35948168,5,195,425,43,87,15,1,8,32,205,62,101,0,988,76.99908,21.03883,1.96208
230000,thirdbase,white,35948168,2,161,481,62,137,26,0,6,57,285,31,61,3,967,76.99908,21.03883,1.96208
2700000,outfield,white,22840832,19,2729,10554,1570,3025,558,123,243,1355,287,922,1257,262,971,82.94886,13.3033,3.747845
2500000,catcher,white,22840832,6,797,2783,314,745,119,16,32,350,268,205,219,83,988,82.94886,13.3033,3.747845
1640000,outfield,black,22840832,4,444,1538,227,360,71,9,72,260,234,167,362,28,984,82.94886,13.3033,3.747845
1333333,secondbase,white,22840832,11,1425,5071,720,1353,216,39,84,491,267,703,597,208,983,82.94886,13.3033,3.747845
1100000,outfield,white,22840832,12,1656,5860,760,1454,287,29,255,856,248,721,1070,66,984,82.94886,13.3033,3.747845
1000000,outfield,black,22840832,4,383,1134,172,331,43,13,8,148,292,99,101,74,997,82.94886,13.3033,3.747845
750000,shortstop,white,22840832,4,371,1138,161,298,398,12,14,125,262,72,168,36,968,82.94886,13.3033,3.747845
725000,outfield,white,22840832,5,363,1018,109,267,63,3,39,144,262,84,225,2,945,82.94886,13.3033,3.747845
350000,shortstop,white,22840832,1,149,579,93,168,19,6,1,47,290,55,124,54,966,82.94886,13.3033,3.747845
250000,shortstop,white,22840832,14,1302,4204,473,1110,183,41,70,402,264,326,619,161,964,82.94886,13.3033,3.747845
120000,catcher,white,22840832,1,51,164,15,38,8,0,4,25,232,17,18,2,992,82.94886,13.3033,3.747845
118000,firstbase,white,22840832,1,47,133,17,30,3,1,2,10,226,12,30,10,1000,82.94886,13.3033,3.747845
110000,outfield,hispanic,22840832,1,22,9,5,1,0,0,0,1,111,0,0,3,1000,82.94886,13.3033,3.747845
5050000,outfield,black,41033000,9,946,3340,507,950,193,16,177,620,284,499,881,35,964,67.66896,17.52836,14.80268
3833333,outfield,white,41033000,8,799,2618,321,679,147,7,96,411,259,306,456,61,989,67.66896,17.52836,14.80268
3820000,firstbase,white,41033000,11,1426,5643,808,1754,363,15,192,913,311,427,343,14,995,67.66896,17.52836,14.80268
2900000,thirdbase,white,41033000,11,1625,6213,1067,2098,422,47,85,687,338,1004,470,16,963,67.66896,17.52836,14.80268
2500000,catcher,white,41033000,8,762,2379,269,610,83,4,117,362,256,174,333,8,990,67.66896,17.52836,14.80268
2250000,shortstop,white,41033000,10,1277,4110,499,1000,173,52,40,354,243,473,450,74,978,67.66896,17.52836,14.80268
1575000,secondbase,white,41033000,8,782,1916,243,448,70,10,26,174,234,216,293,21,978,67.66896,17.52836,14.80268
1050000,shortstop,white,41033000,6,385,1062,128,263,51,6,20,104,248,91,218,11,954,67.66896,17.52836,14.80268
350000,outfield,black,41033000,8,711,2144,277,605,115,18,23,204,282,306,307,49,990,67.66896,17.52836,14.80268
325000,catcher,white,41033000,7,520,1160,138,291,50,4,24,147,251,180,260,6,983,67.66896,17.52836,14.80268
255000,firstbase,white,41033000,3,325,1040,146,245,35,1,55,139,236,151,267,9,983,67.66896,17.52836,14.80268
160000,secondbase,white,41033000,2,202,616,73,144,34,6,10,50,234,40,124,20,964,67.66896,17.52836,14.80268
152000,catcher,white,41033000,3,187,524,53,129,22,1,12,55,246,54,88,2,959,67.66896,17.52836,14.80268
150000,outfield,black,41033000,2,147,581,82,149,33,6,8,60,256,77,93,17,986,67.66896,17.52836,14.80268
5500000,outfield,black,42866000,10,1344,5201,727,1370,264,34,242,873,263,294,867,181,981,,,
4833333,secondbase,black,42866000,5,761,2962,439,862,146,31,39,302,291,292,369,192,978,,,
3583333,outfield,black,42866000,8,921,3514,545,891,157,41,93,361,254,246,743,200,984,,,
3500000,firstbase,white,42866000,15,1856,7520,1275,2281,405,86,160,790,303,755,882,412,968,,,
2100000,outfield,white,42866000,7,517,1433,181,361,57,9,51,168,252,76,264,27,988,,,
1487500,firstbase,white,42866000,4,394,1278,177,344,73,2,47,182,269,195,221,1,994,,,
800000,shortstop,white,42866000,10,1203,3818,452,875,122,29,52,314,229,390,591,109,977,,,
500000,thirdbase,black,42866000,10,761,2394,278,592,119,12,63,309,247,196,365,19,952,,,
500000,shortstop,hispanic,42866000,17,1916,6685,744,1668,242,78,24,524,250,335,651,192,961,,,
290000,secondbase,hispanic,42866000,3,252,812,89,212,29,4,11,72,261,33,55,12,978,,,
182500,catcher,white,42866000,2,83,207,23,55,9,0,5,27,266,22,50,0,956,,,
115000,shortstop,white,42866000,2,26,34,3,6,1,2,0,3,176,0,10,0,980,,,
112500,catcher,white,42866000,2,11,20,1,5,0,0,1,2,250,2,6,0,1000,,,
109000,firstbase,hispanic,42866000,1,7,8,2,5,0,0,1,3,625,0,1,0,1000,,,
4333333,thirdbase,white,27705332,9,921,3094,421,800,145,24,114,434,259,195,493,80,956,60.97563,7.98687,31.0375
3000000,thirdbase,white,27705332,12,1643,6031,745,1523,287,28,231,872,253,412,1060,82,965,60.97563,7.98687,31.0375
2475000,outfield,hispanic,27705332,6,753,2740,426,818,96,41,13,242,299,200,329,195,982,60.97563,7.98687,31.0375
1750000,outfield,black,27705332,12,1590,5698,79,1538,275,28,197,818,270,707,1087,117,971,60.97563,7.98687,31.0375
600000,thirdbase,hispanic,27705332,8,482,1069,125,249,36,3,13,91,233,97,167,16,975,60.97563,7.98687,31.0375
600000,outfield,hispanic,27705332,8,758,1798,250,442,67,17,10,147,246,191,309,83,988,60.97563,7.98687,31.0375
525000,catcher,white,27705332,5,248,690,63,164,38,1,14,72,238,50,101,0,987,60.97563,7.98687,31.0375
450000,outfield,black,27705332,4,370,1192,176,308,52,7,12,85,258,105,215,46,982,60.97563,7.98687,31.0375
265000,shortstop,white,27705332,4,195,632,91,148,22,1,3,45,234,26,64,10,964,60.97563,7.98687,31.0375
220000,outfield,white,27705332,1,139,441,59,114,16,2,10,46,259,51,71,43,978,60.97563,7.98687,31.0375
160000,catcher,white,27705332,4,119,306,30,62,13,0,3,25,203,24,97,1,987,60.97563,7.98687,31.0375
115000,outfield,white,27705332,1,23,79,8,14,1,0,2,6,177,11,23,1,953,60.97563,7.98687,31.0375
112500,secondbase,black,27705332,1,47,151,14,39,5,0,1,12,258,8,26,9,964,60.97563,7.98687,31.0375
110000,firstbase,white,27705332,1,7,14,1,2,1,0,0,2,143,5,5,0,1000,60.97563,7.98687,31.0375
109000,thirdbase,white,27705332,3,63,159,10,27,5,1,2,8,170,20,29,1,963,60.97563,7.98687,31.0375
3650000,outfield,hispanic,35228168,11,1485,5713,778,1613,291,32,252,938,282,318,722,66,964,70.27797,18.84423,10.8778
3500000,outfield,black,35228168,14,1704,6465,1138,1923,315,96,108,656,297,939,679,730,987,70.27797,18.84423,10.8778
2266667,outfield,black,35228168,6,583,2059,258,563,61,38,4,176,273,120,177,131,984,70.27797,18.84423,10.8778
2000000,shortstop,hispanic,35228168,8,1095,3841,432,1021,143,42,10,338,266,124,308,136,975,70.27797,18.84423,10.8778
1975000,secondbase,white,35228168,12,1705,6797,891,1915,273,46,53,541,282,548,576,437,978,70.27797,18.84423,10.8778
1750000,outfield,white,35228168,8,816,2421,317,597,117,14,110,366,247,309,582,5,988,70.27797,18.84423,10.8778
1700000,thirdbase,white,35228168,4,480,1736,230,470,83,3,44,254,271,236,197,5,956,70.27797,18.84423,10.8778
1016667,catcher,white,35228168,7,459,1171,145,265,55,3,36,145,226,94,346,20,990,70.27797,18.84423,10.8778
910000,outfield,black,35228168,6,534,1908,286,476,70,14,112,327,249,157,663,81,960,70.27797,18.84423,10.8778
900000,firstbase,black,35228168,3,378,1323,251,426,88,7,63,255,322,304,254,7,992,70.27797,18.84423,10.8778
632500,shortstop,white,35228168,3,254,630,68,160,40,6,10,75,254,76,98,1,975,70.27797,18.84423,10.8778
500000,thirdbase,black,35228168,6,722,2794,440,785,160,27,93,387,281,251,450,93,986,70.27797,18.84423,10.8778
285000,secondbase,black,35228168,5,308,710,104,175,20,6,0,43,246,77,69,45,962,70.27797,18.84423,10.8778
4400000,firstbase,white,39776560,7,995,3780,521,1079,206,13,123,584,285,378,381,39,994,84.3111,12.80139,2.887507
3666667,outfield,white,39776560,10,1341,4892,660,1307,251,29,196,744,267,465,617,89,986,84.3111,12.80139,2.887507
3666667,shortstop,white,39776560,10,1140,3386,452,844,183,35,69,335,249,188,676,79,971,84.3111,12.80139,2.887507
3100000,firstbase,white,39776560,20,2562,9789,1514,3005,634,134,298,1520,307,1057,840,194,970,84.3111,12.80139,2.887507
2400000,secondbase,hispanic,39776560,6,779,2816,292,717,111,23,8,249,255,180,288,50,987,84.3111,12.80139,2.887507
1525000,outfield,hispanic,39776560,5,439,1566,190,449,81,10,33,210,287,118,308,61,983,84.3111,12.80139,2.887507
1175000,catcher,white,39776560,6,484,1456,160,365,92,9,42,195,251,102,276,3,993,84.3111,12.80139,2.887507
1090000,outfield,white,39776560,2,55,58,4,11,4,0,0,6,190,5,16,0,875,84.3111,12.80139,2.887507
460000,outfield,black,39776560,6,290,475,58,124,15,5,11,60,261,24,79,2,1000,84.3111,12.80139,2.887507
400000,shortstop,black,39776560,10,960,2424,271,596,78,23,8,179,246,137,397,79,962,84.3111,12.80139,2.887507
378500,outfield,black,39776560,3,347,1330,170,331,59,17,17,139,249,75,216,42,994,84.3111,12.80139,2.887507
250000,firstbase,black,39776560,13,1536,5745,637,1546,276,31,147,786,269,374,968,63,952,84.3111,12.80139,2.887507
225000,catcher,white,39776560,3,172,457,40,109,18,0,3,50,239,37,71,2,988,84.3111,12.80139,2.887507
115000,outfield,black,39776560,2,22,38,6,10,2,0,3,4,263,4,12,0,926,84.3111,12.80139,2.887507
5200000,outfield,black,27396932,9,1382,5645,820,1812,304,51,142,785,321,319,736,117,989,94.69627,3.741786,1.561949
3100000,firstbase,white,27396932,12,1543,5526,809,1580,290,17,258,950,286,730,713,33,994,94.69627,3.741786,1.561949
3050000,outfield,black,27396932,5,585,1712,271,514,82,21,46,230,300,159,322,61,984,94.69627,3.741786,1.561949
2700000,outfield,black,27396932,19,2707,10047,1551,2866,493,83,432,1710,285,1126,1503,218,982,94.69627,3.741786,1.561949
2400000,catcher,white,27396932,13,788,2363,264,697,145,6,47,323,295,95,140,7,985,94.69627,3.741786,1.561949
600000,firstbase,white,27396932,6,702,2177,258,580,124,11,31,247,266,247,262,23,992,94.69627,3.741786,1.561949
500000,secondbase,white,27396932,2,306,1165,182,337,43,12,3,106,289,147,100,59,983,94.69627,3.741786,1.561949
400000,thirdbase,white,27396932,9,1044,3290,380,774,165,14,121,434,235,302,687,12,953,94.69627,3.741786,1.561949
275000,shortstop,white,27396932,3,252,633,89,165,26,4,8,59,261,66,98,11,962,94.69627,3.741786,1.561949
253600,outfield,hispanic,27396932,3,200,641,72,175,27,5,19,102,273,28,137,10,986,94.69627,3.741786,1.561949
250000,outfield,white,27396932,11,1184,3000,387,756,152,26,92,406,252,341,492,33,985,94.69627,3.741786,1.561949
172000,catcher,black,27396932,4,87,178,21,51,14,1,4,22,287,19,24,0,994,94.69627,3.741786,1.561949
4200000,outfield,hispanic,35714832,7,1060,4144,588,1160,230,44,156,673,280,298,597,88,973,74.61965,9.049699,16.33065
4000000,firstbase,white,35714832,7,916,3123,504,772,128,5,220,608,247,527,697,6,940,74.61965,9.049699,16.33065
3250000,outfield,black,35714832,14,1859,6879,1472,2000,329,54,199,725,291,1286,925,1042,980,74.61965,9.049699,16.33065
2800000,catcher,white,35714832,7,733,2484,278,675,114,9,61,330,272,182,373,9,984,74.61965,9.049699,16.33065
2600000,outfield,black,35714832,12,1375,4550,646,1191,253,16,172,624,262,417,964,48,984,74.61965,9.049699,16.33065
627500,secondbase,white,35714832,5,367,798,133,185,40,2,7,69,232,133,154,41,985,74.61965,9.049699,16.33065
625000,thirdbase,black,35714832,7,728,2417,341,657,101,21,17,222,272,294,266,65,975,74.61965,9.049699,16.33065
600000,thirdbase,white,35714832,7,889,3289,482,955,163,25,38,336,290,426,370,63,957,74.61965,9.049699,16.33065
400000,shortstop,white,35714832,3,269,753,83,208,24,5,3,69,276,55,100,15,977,74.61965,9.049699,16.33065
120000,outfield,white,35714832,1,24,53,8,14,3,0,3,9,264,5,15,0,850,74.61965,9.049699,16.33065
4000000,outfield,black,31580834,4,578,2165,311,652,132,12,87,344,301,222,313,60,984,51.49687,30.95387,17.54926
3016667,thirdbase,hispanic,31580834,6,521,1805,295,561,122,8,45,204,311,235,233,17,947,51.49687,30.95387,17.54926
2772500,outfield,white,31580834,6,490,1599,212,393,72,9,81,261,246,189,467,4,984,51.49687,30.95387,17.54926
2187500,firstbase,white,31580834,11,1495,5227,624,1367,247,21,162,709,262,615,542,24,994,51.49687,30.95387,17.54926
1866667,catcher,white,31580834,9,711,2079,231,479,85,10,59,255,230,177,300,3,991,51.49687,30.95387,17.54926
1112500,shortstop,hispanic,31580834,4,502,1551,155,388,46,13,4,100,250,123,137,27,980,51.49687,30.95387,17.54926
900000,outfield,hispanic,31580834,9,776,1938,271,509,79,9,39,189,263,102,312,114,990,51.49687,30.95387,17.54926
850000,outfield,black,31580834,8,732,1803,277,464,50,25,13,140,257,142,168,143,983,51.49687,30.95387,17.54926
475000,catcher,white,31580834,6,434,971,84,272,58,5,15,135,280,40,74,0,983,51.49687,30.95387,17.54926
287500,firstbase,hispanic,31580834,3,196,640,68,156,25,2,20,80,244,62,110,2,995,51.49687,30.95387,17.54926
200000,secondbase,white,31580834,4,291,614,51,141,26,5,10,71,230,40,132,1,983,51.49687,30.95387,17.54926
150000,secondbase,white,31580834,13,1092,3216,480,889,138,19,10,240,276,370,472,117,976,51.49687,30.95387,17.54926
4800000,outfield,hispanic,35586456,8,972,3655,614,974,171,8,235,734,266,433,998,128,974,73.14964,13.87162,12.97875
4550000,firstbase,hispanic,35586456,7,886,3270,463,968,194,23,95,421,296,305,328,28,992,73.14964,13.87162,12.97875
2937500,secondbase,hispanic,35586456,11,1402,5416,807,1630,249,40,86,679,301,499,637,220,969,73.14964,13.87162,12.97875
1900000,shortstop,hispanic,35586456,8,753,2152,231,547,67,17,16,199,254,160,426,26,979,73.14964,13.87162,12.97875
650000,catcher,white,35586456,11,750,1741,168,469,78,9,23,179,269,194,246,6,984,73.14964,13.87162,12.97875
525000,outfield,hispanic,35586456,4,346,1279,172,331,68,4,75,230,259,85,296,4,978,73.14964,13.87162,12.97875
500000,firstbase,white,35586456,11,1064,3258,561,813,170,47,84,319,250,454,647,318,983,73.14964,13.87162,12.97875
450000,outfield,white,35586456,5,443,1070,133,257,37,9,3,80,240,94,93,47,990,73.14964,13.87162,12.97875
312000,shortstop,white,35586456,5,439,1098,150,260,41,8,6,83,237,136,138,43,964,73.14964,13.87162,12.97875
275000,catcher,hispanic,35586456,2,211,700,63,183,32,1,11,64,261,29,115,0,983,73.14964,13.87162,12.97875
250000,thirdbase,white,35586456,3,249,828,112,176,36,2,41,110,213,94,264,10,941,73.14964,13.87162,12.97875
200000,secondbase,white,35586456,6,667,2087,217,510,92,5,13,168,244,137,239,20,987,73.14964,13.87162,12.97875
109000,outfield,white,35586456,1,12,24,1,4,0,0,0,2,167,0,3,0,857,73.14964,13.87162,12.97875
